customer_id,name,email,phone,gender,date_of_birth,age,country,created_at
CUST1102,Customer_0,,,,2005-07-04 07:21:02.598329,,Canada,2024-07-15 07:21:02.599474
CUST1092,Customer_1,user1@mail.com,9926506464,Male,1975-09-21 07:21:02.598373,67,,2024-02-23 07:21:02.599513
CUST1014,Customer_2,user2@mail.com,9614817842,Male,2003-12-08 07:21:02.598382,62,Canada,2025-06-01 07:21:02.599521
CUST1106,Customer_3,user3@mail.com,9183375337,,1989-11-06 07:21:02.598387,28,Australia,2023-09-24 07:21:02.599527
CUST1071,Customer_4,user4@mail.com,9476304299,Male,1989-05-26 07:21:02.598392,46,Canada,2025-09-05 07:21:02.599531
CUST1020,Customer_5,user5@mail.com,9928540878,,1986-07-09 07:21:02.598398,53,UK,2025-08-14 07:21:02.599537
CUST1102,Customer_6,user6@mail.com,9822804538,Male,1979-12-15 07:21:02.598403,42,Germany,2023-11-29 07:21:02.599542
CUST1121,Customer_7,user7@mail.com,9414404213,Female,1993-12-31 07:21:02.598407,38,Canada,2023-10-03 07:21:02.599547
CUST1074,Customer_8,user8@mail.com,,Male,1996-07-11 07:21:02.598412,53,Germany,2024-08-30 07:21:02.599551
CUST1087,Customer_9,user9@mail.com,9180705119,,2000-04-04 07:21:02.598417,27,UK,2026-01-15 07:21:02.599556
CUST1116,Customer_10,,9349546199,,1977-05-14 07:21:02.598422,54,UK,2025-01-20 07:21:02.599561
CUST1099,Customer_11,user11@mail.com,9971959784,,1998-07-11 07:21:02.598426,26,Germany,2025-12-18 07:21:02.599567
CUST1103,Customer_12,user12@mail.com,9760721331,,1991-07-01 07:21:02.598431,41,India,2025-02-02 07:21:02.599571
,Customer_13,user13@mail.com,9588035440,,1998-09-22 07:21:02.598435,52,USA,2024-04-26 07:21:02.599576
CUST1130,Customer_14,user14@mail.com,9378710077,Other,2007-01-25 07:21:02.598440,66,,2024-02-26 07:21:02.599581
CUST1149,Customer_15,user15@mail.com,9116816569,Other,1992-10-12 07:21:02.598445,52,India,2024-03-23 07:21:02.599592
CUST1052,Customer_16,user16@mail.com,,Male,1992-07-11 07:21:02.598449,65,India,2024-01-15 07:21:02.599600
CUST1001,Customer_17,user17@mail.com,9107654909,,1993-09-30 07:21:02.598454,53,Australia,2025-05-29 07:21:02.599608
CUST1087,Customer_18,user18@mail.com,9943120422,Male,2004-09-05 07:21:02.598459,35,,2025-12-23 07:21:02.599617
CUST1037,Customer_19,user19@mail.com,9318520688,,1981-12-08 07:21:02.598463,66,,2023-12-02 07:21:02.599625
CUST1129,Customer_20,,9736028516,,1987-11-03 07:21:02.598468,56,India,2024-01-23 07:21:02.599630
CUST1020,Customer_21,user21@mail.com,9249638768,Other,1995-09-27 07:21:02.598472,49,Canada,2025-04-30 07:21:02.599634
CUST1057,Customer_22,user22@mail.com,9258428240,Other,1988-01-03 07:21:02.598477,41,Australia,2023-11-23 07:21:02.599639
